"","X","Male","ParentEduc","LunchDiscount","TestPrep","PracticeSport","IsFirstChild","NrSiblings","PrivateTransport","WklyStudyHours","EthnicGroupA","EthnicGroupB","EthnicGroupC","EthnicGroupD","EthnicGroupE","ParentDivorced","ParentMarried","ParentSingle","ParentWidowed","MathScore","ReadingScore","WritingScore","AggregateScore"
"95",103,1,2,0,1,3,0,3,0,1,0,1,0,0,0,0,1,0,0,61,44,48,153
"97",105,0,3,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,58,67,72,197
"98",106,0,6,0,0,2,0,3,1,1,0,0,0,1,0,0,1,0,0,87,100,100,287
"100",108,0,4,1,0,2,1,2,0,1,0,1,0,0,0,0,1,0,0,52,76,70,198
"101",109,0,1,0,0,3,0,3,0,1,0,1,0,0,0,0,0,1,0,72,64,73,209
"102",110,0,4,1,1,2,1,4,0,3,0,0,0,1,0,0,0,1,0,79,90,99,268
"104",112,1,4,0,0,2,1,0,0,1,1,0,0,0,0,0,1,0,0,54,53,47,154
"105",113,0,3,0,0,1,1,1,0,2,0,0,0,1,0,0,1,0,0,47,56,51,154
"106",114,0,5,0,1,3,1,3,0,2,0,0,0,0,1,0,1,0,0,98,99,100,297
"107",115,1,2,0,0,2,1,4,1,1,0,0,1,0,0,0,1,0,0,84,77,74,235
"108",116,0,5,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,72,83,79,234
"109",117,0,5,0,0,1,0,2,1,1,0,0,0,1,0,0,1,0,0,75,80,77,232
"110",118,0,1,0,0,3,1,0,1,3,0,0,0,1,0,0,0,1,0,54,64,63,181
"111",119,0,3,0,0,2,0,3,0,1,0,0,1,0,0,1,0,0,0,55,69,65,189
"112",120,0,5,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,76,90,86,252
"113",121,1,4,0,1,2,1,3,0,2,0,1,0,0,0,0,1,0,0,88,87,90,265
"116",124,1,3,0,0,3,0,3,0,2,0,0,0,0,1,0,0,1,0,82,79,73,234
"117",125,0,2,0,0,1,1,2,0,3,0,1,0,0,0,0,0,1,0,86,94,85,265
"120",128,1,6,0,0,1,1,2,1,2,0,0,0,1,0,0,0,1,0,77,81,72,230
"122",130,1,6,0,0,2,0,1,0,2,0,0,0,1,0,0,0,1,0,87,84,82,253
"123",131,1,1,1,1,3,1,1,1,2,0,0,1,0,0,0,0,1,0,52,36,40,128
"126",134,1,5,1,1,2,1,1,1,3,0,0,0,1,0,0,1,0,0,76,80,76,232
"128",136,1,1,0,1,2,1,1,1,1,0,1,0,0,0,1,0,0,0,51,54,41,146
"129",137,1,2,0,0,2,1,0,0,2,0,0,0,0,1,1,0,0,0,67,54,54,175
"131",139,1,3,0,1,2,1,0,1,3,0,0,0,1,0,0,1,0,0,73,61,70,204
"132",140,0,1,0,0,2,0,1,0,1,0,0,0,1,0,0,1,0,0,76,72,71,219
"133",141,0,3,1,0,3,0,2,1,1,0,0,1,0,0,0,1,0,0,60,62,65,187
"135",143,1,2,0,0,2,0,1,0,1,1,0,0,0,0,0,0,1,0,57,43,47,147
"136",144,1,3,0,0,2,1,3,1,3,0,0,0,1,0,1,0,0,0,90,74,79,243
"137",145,0,3,1,0,3,1,1,0,2,0,0,1,0,0,0,0,1,0,21,38,33,92
"138",148,0,5,0,1,2,1,1,1,2,0,0,0,1,0,0,1,0,0,65,73,79,217
"139",149,1,4,1,1,3,0,3,1,1,0,0,0,0,1,0,1,0,0,100,100,95,295
"140",150,1,1,0,1,2,0,2,1,1,1,0,0,0,0,0,1,0,0,62,67,69,198
"141",152,0,4,0,1,2,1,2,0,2,0,1,0,0,0,0,0,1,0,57,68,64,189
"144",155,0,3,0,1,3,1,3,0,2,0,0,1,0,0,0,1,0,0,69,88,88,245
"145",156,0,2,1,1,3,1,1,0,1,0,0,0,0,1,0,1,0,0,67,75,79,221
"148",159,1,4,1,0,3,0,3,0,3,0,0,0,1,0,0,1,0,0,70,63,66,199
"149",160,1,4,1,1,2,1,2,1,1,0,1,0,0,0,0,0,1,0,82,78,74,234
"150",161,0,3,1,1,2,1,3,0,1,0,0,0,0,1,0,1,0,0,75,88,85,248
"151",162,1,6,1,0,1,0,2,0,1,0,1,0,0,0,0,0,1,0,48,53,52,153
"152",163,1,2,0,0,2,1,1,0,1,0,0,1,0,0,1,0,0,0,52,53,49,154
"153",164,0,6,0,0,1,1,3,1,2,0,0,0,0,1,0,1,0,0,76,89,86,251
"154",165,0,5,0,1,2,1,0,0,1,0,0,1,0,0,0,1,0,0,96,100,100,296
"155",166,1,2,1,1,2,1,5,1,1,0,0,1,0,0,0,0,1,0,53,51,51,155
"156",167,0,6,1,1,3,0,1,1,3,0,1,0,0,0,0,1,0,0,62,79,83,224
"157",168,0,2,0,1,3,1,2,1,1,0,1,0,0,0,0,1,0,0,70,84,79,233
"158",170,1,2,0,1,3,1,5,0,3,1,0,0,0,0,1,0,0,0,76,75,77,228
"159",171,1,1,0,0,2,0,3,0,2,0,0,0,0,1,0,1,0,0,91,86,76,253
"160",172,0,3,0,0,1,1,3,0,1,0,0,0,1,0,0,0,1,0,76,84,78,238
"161",173,0,4,0,0,2,1,2,0,1,0,0,1,0,0,0,1,0,0,63,67,70,200
"162",174,0,5,1,1,2,0,1,0,2,0,0,1,0,0,0,1,0,0,41,50,52,143
"163",175,0,6,0,1,2,1,1,0,1,0,0,1,0,0,1,0,0,0,81,92,89,262
"164",176,0,2,1,1,2,0,2,0,2,0,1,0,0,0,0,1,0,0,44,53,56,153
"166",178,0,6,1,1,3,1,2,0,1,0,1,0,0,0,1,0,0,0,54,72,65,191
"167",179,0,1,0,1,3,1,0,0,1,0,0,0,1,0,1,0,0,0,99,100,100,299
"168",180,1,6,1,1,2,1,2,1,2,0,0,1,0,0,0,0,1,0,60,68,75,203
"169",181,0,3,1,0,2,1,1,1,1,0,0,1,0,0,0,0,1,0,46,64,66,176
"172",185,1,4,1,1,1,1,5,1,2,0,0,1,0,0,0,1,0,0,61,65,62,188
"173",186,1,2,0,0,1,1,1,0,2,0,0,0,0,1,0,1,0,0,75,73,62,210
"174",187,1,1,0,1,2,0,4,1,1,0,0,0,1,0,0,1,0,0,62,66,68,196
"175",188,1,1,1,0,3,0,3,0,2,0,1,0,0,0,0,1,0,0,47,51,45,143
"176",189,0,5,0,0,2,1,1,0,2,0,0,1,0,0,0,0,1,0,74,86,85,245
"177",190,0,4,0,0,2,1,2,0,1,0,0,0,0,1,0,1,0,0,66,65,69,200
"178",191,1,3,0,1,2,0,2,0,2,0,0,0,1,0,0,1,0,0,73,81,77,231
"182",195,1,4,0,0,3,0,4,0,2,0,0,0,1,0,0,1,0,0,60,54,52,166
"187",200,0,4,0,1,3,0,1,1,2,0,0,1,0,0,0,0,1,0,66,83,86,235
"188",201,0,3,1,0,2,1,3,0,2,0,0,0,1,0,1,0,0,0,63,79,75,217
"189",202,1,4,0,0,2,1,2,0,1,0,0,1,0,0,0,1,0,0,69,77,69,215
"193",206,1,5,0,0,3,1,4,0,1,0,0,0,0,1,0,1,0,0,84,62,63,209
"194",207,1,2,0,1,3,0,2,0,1,0,0,0,0,1,0,1,0,0,83,81,77,241
"195",208,0,3,1,0,3,1,1,1,2,0,1,0,0,0,0,1,0,0,73,80,76,229
"197",210,1,1,1,1,2,1,3,0,2,0,0,0,1,0,0,0,0,1,77,77,77,231
"199",212,0,2,1,0,2,1,2,0,1,0,0,1,0,0,1,0,0,0,42,62,60,164
"200",213,1,4,1,1,3,0,1,0,1,0,0,1,0,0,0,0,1,0,61,51,57,169
"203",216,0,4,1,1,2,1,3,0,2,0,0,0,0,1,0,1,0,0,80,84,86,250
"205",218,1,2,1,0,2,0,2,0,2,0,1,0,0,0,0,1,0,0,64,75,68,207
"207",220,0,2,0,1,3,1,4,0,1,0,0,0,1,0,0,0,0,1,57,69,75,201
"208",221,1,4,0,0,2,1,0,0,3,0,1,0,0,0,0,1,0,0,89,86,74,249
"210",223,1,1,0,0,3,0,3,0,1,0,0,0,1,0,0,1,0,0,88,81,76,245
"213",226,0,3,0,0,2,1,5,0,1,0,0,1,0,0,0,1,0,0,72,72,71,215
"214",227,1,2,0,0,3,1,0,0,1,0,0,0,1,0,0,0,1,0,58,50,55,163
"216",229,0,3,0,1,3,1,3,0,3,0,0,1,0,0,0,1,0,0,93,97,98,288
"219",232,0,5,0,0,2,1,2,0,1,0,1,0,0,0,0,1,0,0,67,86,83,236
"220",233,1,1,0,0,2,1,3,0,3,0,0,0,0,1,1,0,0,0,94,88,79,261
"221",234,1,5,0,1,2,0,3,0,3,0,0,1,0,0,0,1,0,0,85,83,85,253
"222",235,1,4,0,0,3,0,1,0,3,0,0,0,1,0,0,1,0,0,84,77,80,241
"223",236,1,5,1,0,3,0,2,0,2,0,0,0,1,0,1,0,0,0,62,65,67,194
"225",238,1,3,0,0,3,1,2,1,3,0,1,0,0,0,0,1,0,0,57,53,53,163
"228",241,0,5,0,0,3,0,4,1,1,0,0,0,0,1,0,0,1,0,82,84,85,251
"230",244,1,1,0,0,3,1,1,0,2,0,0,0,1,0,1,0,0,0,74,73,69,216
"231",245,1,4,0,0,2,0,3,1,2,0,0,1,0,0,0,1,0,0,82,74,69,225
"233",247,0,2,0,1,2,1,1,1,1,0,1,0,0,0,0,0,1,0,58,70,68,196
"234",248,0,2,0,0,2,1,2,1,2,0,1,0,0,0,0,1,0,0,63,63,60,186
"236",250,1,1,0,1,2,1,2,0,1,1,0,0,0,0,0,0,1,0,47,49,49,145
"238",252,0,1,0,1,2,1,3,1,1,0,1,0,0,0,0,0,1,0,60,70,70,200
"240",254,1,2,0,0,2,1,0,1,1,0,0,0,1,0,0,1,0,0,54,52,52,158
"241",255,0,3,0,0,2,0,1,0,1,0,0,0,0,1,0,0,1,0,62,73,70,205
"242",256,0,4,1,0,2,0,5,1,2,0,0,1,0,0,0,0,1,0,62,71,66,199
"244",260,0,1,1,1,2,1,1,1,3,0,0,1,0,0,0,1,0,0,65,80,78,223
"245",261,1,3,0,1,2,0,2,0,1,0,0,1,0,0,0,1,0,0,79,79,78,236
"246",262,0,1,1,0,3,0,2,1,1,0,0,1,0,0,0,1,0,0,45,50,52,147
"247",263,0,2,0,0,2,1,1,1,1,0,0,0,0,1,0,0,1,0,99,93,90,282
"248",264,1,2,0,0,2,0,2,1,1,0,0,0,1,0,0,1,0,0,76,73,68,217
"249",265,1,1,1,0,2,0,1,0,2,0,0,0,1,0,1,0,0,0,57,41,40,138
"251",267,0,2,0,0,3,0,3,0,1,0,0,0,1,0,0,1,0,0,71,73,78,222
"252",268,0,4,0,1,3,1,5,0,3,0,0,0,1,0,0,1,0,0,93,94,99,286
"254",270,1,5,0,0,2,1,2,0,1,0,0,1,0,0,0,1,0,0,69,63,61,193
"256",272,0,4,1,0,3,1,2,1,1,0,0,0,1,0,0,0,1,0,48,53,59,160
"257",273,0,3,0,0,2,0,2,1,1,0,0,0,1,0,0,1,0,0,65,70,71,206
"259",275,1,5,0,0,2,0,3,0,1,0,0,1,0,0,0,1,0,0,83,78,73,234
"260",276,0,1,0,1,2,1,3,1,2,0,0,1,0,0,0,1,0,0,82,90,91,263
"262",278,0,1,1,0,2,1,1,0,1,0,0,1,0,0,0,1,0,0,65,86,80,231
"263",279,1,5,1,0,2,0,2,0,1,0,1,0,0,0,0,0,0,1,73,56,57,186
"265",282,0,5,1,0,3,0,3,0,1,0,0,0,1,0,1,0,0,0,75,80,86,241
"268",285,1,4,0,1,1,1,3,0,1,0,1,0,0,0,0,1,0,0,78,80,79,237
"269",286,1,4,0,1,3,1,0,1,1,0,0,0,0,1,0,1,0,0,99,83,90,272
"270",287,0,1,0,0,2,0,1,0,2,0,1,0,0,0,0,1,0,0,64,87,80,231
"273",290,1,4,0,0,2,0,2,0,1,0,0,1,0,0,0,1,0,0,76,70,68,214
"274",291,1,1,0,0,2,1,2,1,2,0,0,0,1,0,0,1,0,0,83,71,68,222
"275",292,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,61,59,55,175
"277",294,1,2,1,1,3,1,3,0,1,0,0,0,1,0,0,0,1,0,80,78,82,240
"278",295,1,4,1,0,1,1,1,0,3,0,1,0,0,0,0,1,0,0,66,61,59,186
"283",300,1,3,1,1,1,1,2,1,2,1,0,0,0,0,0,1,0,0,76,75,77,228
"285",302,0,4,0,1,1,1,5,0,3,0,0,1,0,0,0,0,1,0,66,83,80,229
"286",303,1,4,0,0,3,1,1,0,1,0,1,0,0,0,0,1,0,0,82,77,65,224
"287",304,0,4,0,1,3,1,2,0,1,0,0,1,0,0,0,1,0,0,76,76,85,237
"289",306,1,3,0,1,3,1,5,1,1,0,0,0,0,1,1,0,0,0,100,88,83,271
"291",308,0,4,1,0,3,0,3,1,3,0,1,0,0,0,0,1,0,0,56,73,70,199
"293",310,0,4,0,0,2,0,2,0,1,0,1,0,0,0,0,1,0,0,73,76,80,229
"294",311,1,5,0,0,1,1,3,0,2,0,1,0,0,0,0,1,0,0,62,58,54,174
"296",313,0,4,1,1,2,1,2,1,3,0,0,1,0,0,0,0,1,0,70,68,70,208
"297",315,1,2,0,0,3,0,3,1,1,0,0,1,0,0,0,1,0,0,73,66,66,205
"298",316,0,6,0,1,1,1,3,1,1,0,0,0,1,0,0,0,0,1,74,80,88,242
"299",317,1,4,0,0,2,0,1,0,1,0,0,1,0,0,0,0,1,0,83,72,78,233
"301",319,0,4,1,0,3,0,1,0,2,0,0,0,1,0,0,0,1,0,55,64,63,182
"303",321,0,2,0,0,1,0,3,1,3,0,0,0,0,1,0,1,0,0,74,85,78,237
"304",322,0,3,0,0,3,1,2,1,2,0,0,1,0,0,0,1,0,0,70,80,80,230
"305",323,0,1,1,0,2,1,5,1,1,0,0,1,0,0,0,1,0,0,40,52,51,143
"307",325,0,3,0,0,2,1,3,0,1,0,0,1,0,0,0,0,1,0,82,90,94,266
"308",326,1,3,0,0,2,1,1,0,1,0,0,1,0,0,0,1,0,0,61,61,62,184
"309",327,1,3,1,0,3,1,2,0,3,1,0,0,0,0,0,1,0,0,29,23,19,71
"310",328,1,4,0,1,2,1,5,0,1,0,0,1,0,0,0,1,0,0,82,75,77,234
"311",329,0,1,0,0,2,1,2,0,2,0,1,0,0,0,0,1,0,0,39,54,49,142
"314",332,1,4,0,1,1,0,3,0,3,0,0,0,0,1,0,1,0,0,61,55,52,168
"315",333,1,4,0,0,2,1,1,0,1,0,1,0,0,0,0,0,1,0,90,78,81,249
"320",338,0,1,1,0,2,0,3,0,2,0,1,0,0,0,0,0,1,0,23,37,26,86
"321",339,0,1,1,1,2,1,3,0,1,0,0,0,1,0,0,1,0,0,35,55,60,150
"322",340,1,2,1,0,3,1,1,0,3,0,0,1,0,0,0,1,0,0,61,62,54,177
"325",343,1,4,0,1,2,1,3,1,2,0,0,0,1,0,0,0,1,0,64,70,65,199
"327",345,0,2,0,0,2,1,4,1,1,0,0,1,0,0,0,1,0,0,72,80,75,227
"330",349,1,4,0,0,3,1,2,1,3,0,0,0,0,1,1,0,0,0,92,76,79,247
"331",350,0,5,0,0,2,1,0,1,1,0,1,0,0,0,0,1,0,0,52,65,69,186
"333",352,0,3,0,1,2,0,1,0,2,0,0,1,0,0,0,1,0,0,61,76,78,215
"334",353,0,4,0,0,3,0,1,1,2,0,0,1,0,0,0,1,0,0,45,57,57,159
"336",355,0,5,0,0,3,0,3,0,3,0,1,0,0,0,0,0,1,0,64,74,73,211
"338",357,0,3,1,1,2,1,1,1,2,0,0,1,0,0,0,1,0,0,40,65,67,172
"339",359,0,3,0,0,2,0,1,1,2,0,0,0,1,0,1,0,0,0,77,88,87,252
"340",360,0,2,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,56,61,57,174
"341",361,1,1,0,1,3,1,3,1,1,0,1,0,0,0,0,0,1,0,87,85,79,251
"342",362,0,3,0,0,3,0,2,1,1,0,0,1,0,0,0,0,1,0,53,58,59,170
"343",363,0,1,1,0,2,0,3,0,2,0,0,0,1,0,0,0,1,0,26,33,31,90
"344",364,1,3,0,0,3,1,1,0,1,0,0,1,0,0,1,0,0,0,60,60,59,179
"345",365,1,5,1,1,3,0,2,1,3,1,0,0,0,0,0,1,0,0,51,59,62,172
"348",368,0,1,1,0,2,1,2,1,1,1,0,0,0,0,0,0,1,0,44,64,58,166
"349",369,0,1,0,0,3,1,5,0,1,0,0,0,1,0,0,0,1,0,71,83,84,238
"350",370,1,3,0,0,3,1,3,1,1,0,0,0,0,1,0,1,0,0,86,78,72,236
"351",371,0,3,1,1,2,0,4,0,1,0,0,1,0,0,0,0,1,0,45,73,70,188
"352",372,1,1,0,0,2,1,0,1,3,0,0,0,1,0,0,0,1,0,76,75,73,224
"353",373,0,3,0,1,2,1,1,1,3,0,0,0,1,0,0,1,0,0,84,98,97,279
"355",376,0,1,0,0,2,0,2,0,3,0,0,0,1,0,0,0,1,0,82,91,83,256
"357",378,0,1,0,0,2,0,1,1,3,1,0,0,0,0,0,0,1,0,73,84,78,235
"358",379,1,5,0,0,3,1,1,1,1,1,0,0,0,0,0,1,0,0,67,64,63,194
"359",380,0,4,0,0,2,1,1,0,1,0,1,0,0,0,0,0,1,0,80,86,83,249
"360",381,1,4,0,1,2,1,0,1,2,0,0,1,0,0,1,0,0,0,84,98,93,275
"362",383,0,1,1,0,3,1,3,1,3,0,0,0,0,1,1,0,0,0,40,50,47,137
"363",384,0,1,1,0,1,0,5,1,1,1,0,0,0,0,1,0,0,0,35,41,40,116
"364",385,0,3,0,0,3,1,2,1,1,0,0,0,0,1,1,0,0,0,69,77,76,222
"365",386,0,5,0,0,2,1,0,0,2,0,0,0,0,1,0,0,1,0,62,71,68,201
"367",388,0,2,0,0,2,1,3,1,1,0,0,0,1,0,0,0,1,0,62,64,64,190
"368",389,1,6,0,0,2,0,1,0,2,0,0,0,1,0,0,1,0,0,71,70,75,216
"369",390,1,1,1,1,3,1,0,1,1,0,0,0,0,1,0,0,1,0,75,68,60,203
"370",391,0,3,0,0,2,0,3,1,2,0,0,0,1,0,0,0,1,0,74,66,75,215
"371",392,1,3,0,0,2,1,3,0,3,0,0,0,0,1,0,1,0,0,78,68,68,214
"372",393,1,4,0,1,3,1,4,1,3,0,0,1,0,0,1,0,0,0,60,55,58,173
"374",396,0,2,1,0,1,0,5,0,1,0,1,0,0,0,0,1,0,0,48,65,61,174
"375",398,1,1,0,0,3,1,0,0,2,0,1,0,0,0,0,0,1,0,73,62,57,192
"376",399,1,1,0,0,1,0,4,1,2,0,0,0,1,0,0,0,1,0,56,57,51,164
"377",400,0,1,0,1,3,1,3,1,1,0,0,1,0,0,0,1,0,0,60,54,68,182
"379",402,0,3,1,0,3,0,2,0,3,1,0,0,0,0,0,1,0,0,51,66,57,174
"380",403,0,2,0,1,2,1,4,1,1,0,0,0,1,0,0,0,1,0,88,99,100,287
"381",404,0,2,0,0,3,1,0,0,1,0,0,1,0,0,0,0,1,0,55,59,63,177
"383",406,1,4,0,1,3,0,3,0,3,0,1,0,0,0,0,1,0,0,68,66,65,199
"385",408,0,2,1,1,2,0,2,0,1,0,0,0,1,0,1,0,0,0,52,57,56,165
"386",409,1,4,0,1,1,0,5,0,3,0,0,0,1,0,0,0,0,1,86,83,84,253
"391",415,1,2,0,0,3,0,3,1,1,0,0,0,0,1,0,0,1,0,86,74,70,230
"392",416,1,5,0,1,2,1,3,1,2,0,0,1,0,0,0,1,0,0,68,72,66,206
"394",418,1,3,0,0,3,0,4,1,1,0,0,0,1,0,0,1,0,0,70,59,63,192
"395",419,1,2,1,1,2,0,3,1,1,0,0,0,0,1,0,1,0,0,57,56,54,167
"397",422,0,6,1,1,1,1,0,1,3,0,0,0,1,0,1,0,0,0,47,59,68,174
"401",426,1,5,0,0,3,1,2,0,1,0,0,1,0,0,0,1,0,0,88,84,88,260
"402",427,1,1,1,0,3,1,0,1,1,0,0,1,0,0,0,0,1,0,71,72,66,209
"404",429,1,1,1,0,2,0,3,0,3,0,0,1,0,0,0,1,0,0,70,63,55,188
"407",432,1,2,0,0,1,1,4,0,2,0,0,1,0,0,0,0,1,0,57,54,52,163
"411",436,1,4,0,0,3,1,3,0,1,0,0,0,1,0,0,1,0,0,77,69,65,211
"417",442,0,1,1,0,2,1,2,0,1,1,0,0,0,0,0,1,0,0,59,73,69,201
"419",444,1,1,1,0,2,1,0,0,1,1,0,0,0,0,0,1,0,0,79,82,73,234
"422",447,1,2,0,1,3,1,2,0,3,0,0,1,0,0,0,0,1,0,91,83,83,257
"423",448,1,2,0,0,3,1,4,0,1,0,1,0,0,0,0,0,0,1,48,46,43,137
"425",450,0,3,1,1,2,1,3,1,1,0,0,1,0,0,1,0,0,0,64,85,85,234
"427",452,0,4,1,0,3,0,1,0,3,0,0,1,0,0,0,1,0,0,68,79,77,224
"428",453,1,3,1,0,1,1,3,1,3,0,0,1,0,0,0,1,0,0,64,57,48,169
"430",455,1,5,1,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,37,56,47,140
"431",456,0,5,0,0,2,0,3,0,1,0,0,0,1,0,1,0,0,0,79,89,89,257
"435",460,1,5,1,0,3,0,1,1,2,0,0,1,0,0,0,1,0,0,52,57,55,164
"436",461,1,3,1,0,2,1,1,0,1,0,1,0,0,0,0,1,0,0,54,54,45,153
"437",462,0,3,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,68,68,74,210
"438",463,0,3,1,0,2,1,4,0,1,0,0,1,0,0,0,0,0,1,77,90,91,258
"441",466,0,4,1,0,2,0,1,0,3,0,0,0,1,0,1,0,0,0,26,31,38,95
"442",467,1,2,1,1,3,0,7,0,3,1,0,0,0,0,0,1,0,0,76,69,67,212
"443",468,0,2,1,1,3,1,3,1,1,1,0,0,0,0,0,0,1,0,79,89,87,255
"445",470,0,4,0,1,2,0,1,1,1,0,0,1,0,0,1,0,0,0,83,85,90,258
